AsciiScene,Setup,Room
087,00,00,006A 0061 0065 0007 0016 0090 011E 012F 0131 00A2 0154 00FE 010B 0188 0024
087,02,00,006A 0061 0065 0008 011E 012F 001A 0158 00A2 0188 0024 0154 000E 0016 0048
087,04,00,008A 001A 0061 0065 0090 006A 0048
087,05,00,008A 001A 0061 0065 0090 006A
088,00,00,0113 00A4 012F 012C 00FE 00FF 00A3 0188
088,02,00,0113 006B 00A4 012F 012C 0188 00FF
088,04,00,0113 00A4 012F
088,00,01,0113 00A4 012F 012C 00FE 000E 0090
088,02,01,0113 006B 00A4 012F 012C 0188 0024
088,04,01,0113 00A4 012F
089,00,00,0074 0040 012F 012C 00A4 0170 007C 0188 0163 0024
089,01,00,0074 0040 0013 012F 012C 00A4 0170 007C 0188 0024 0163
089,02,00,0074 012F 0007 0016 011F 0188 0024 0154 012C 0163
089,04,00,0040 0012 0016 0061 0068 0007 0090 00AD 00A3
089,05,00,0040 0012 0016 0061 0068 0007 0016
089,06,00,0040 0012 0016 0061 0068 0007 0016
090,00,00,00AE 0013 0116 0100 011E 00A4 0170 0167 012F 0188 0024 0163 018B
090,02,00,00AE 011E 0121 001A 011F 0007 012F 0188 0024 0163 000E 0170
090,04,00,00AE
090,05,00,00AE 0092
090,06,00,00AE 0013 0116 0100 011E 0131
091,00,00,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,00,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
091,00,01,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,01,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
091,00,02,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,02,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
091,00,03,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,03,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
091,00,04,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,04,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
091,00,05,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,05,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
091,04,05,0168 011E 00BC
091,00,06,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,06,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
091,00,07,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,07,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
091,00,08,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,08,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
091,00,09,010A 0168 0172 0117 0131 011E 0163 0188 0164 017B 0024
091,02,09,00FC 00FD 00FB 013D 011E 0188 0128 0024 0163 00C5 013C 010A
092,00,00,016F 0061 0066 0017 0076 0090 000E 011E 0188 0024 0008 00A1 0131
092,02,00,016F 0061 0066 0017 0076 0090 000E 011E 012F 0188 0024 0008 00A1 0048
092,04,00,0061 0066 0068 008A 00B6 0090 0131
092,05,00,0061 0066 00B3 00C1 005A 000E
093,00,00,0162 000E 0076 001A 00D2 0170 0167 0116
093,02,00,0116 0170 001A 00D2 0162 000E 0076 0167 012F 0154
093,03,00,0116 0170 001A 0162 000E 0076 0167 012F 0154 0024
093,04,00,000E 0029 0034 0076 001A 00BD 0027 00D2 0117 0170 0116 012C
093,05,00,000E 0029 0034 0076 001A 00BD 0027 0117
093,06,00,000E 0076 001A 0027 0013 0100 0116 012C
093,00,01,0162 000E 0076 001A 00D2 0170 0167 0116
093,02,01,0116 0170 001A 00D2 0162 000E 0076 0167 012F 0154
093,03,01,0116 0170 001A 0162 000E 0076 0167 012F 0154 0024
093,04,01,000E 0029 0034 0076 001A 00BD 0027 00D2 0117 0170 0116 012C
093,05,01,000E 0029 0034 0076 001A 00BD 0027 00D2 0117
093,06,01,000E 0076 001A 0027 0013 0100 0116 012C
094,00,00,006D 0144 0017 0076 012C 000E 00A4 0170 0024 012F 0154
094,00,01,006D 0144 0017 0076 012C 000E 00A4 0170 0024 012F 0154
095,00,00,00F0 0088 0097 007C 012F 00E0 0131 0163 0188 0024
096,00,00,00C2 017A 00C9 0031 0016 0076 0092 011E 012F 0131 0163 0188 0024 000E
096,02,00,00C2 017A 00C9 0031 0016 0076 0092 011E 012F 011F 0163 0188 0024 000E
096,04,00,0093 0094
096,05,00,0029 0034 00C9 009D 00AD 0090 0048 017A
096,06,00,0029 0034 00C9 009D 00AD 0090 0048 017A
096,07,00,00C2 017A 00C9 0031 0016 0076 0092 011E 012F 0131 0163 0188 0024 018B 000E
096,08,00,0087 00CA 00B3 00BC 009D 0090
097,00,00,00B1 0061 0064 0090 011E 012F 012C 0163
097,02,00,00B1 0061 0064 0090 011E 012F 012C 0163
097,04,00,00B1 002C 0061 0064 0090 005D
097,05,00,00B1 002C 0061 0064 0090 005D
097,00,01,00B1 0061 0064 0090 011E 012F 012C 0163 0188 0024 0168 0170 00BD
097,02,01,00B1 0061 0064 0090 011E 012F 012C 0163 0188 005D 008A 0154 0048
097,04,01,00B1 002C 0061 0064 0090 005D 008A 00B6
097,05,01,00B1 002C 0061 0064 0090 005D 008A 00B6
098,00,00,00AF 0031 0163 0188 000E 0170 0024
098,02,00,00AF 0031 0163 0188 000E 0170
098,04,00,00AF 009D 0126 00C9 011E 012C 000E 002B
098,00,01,00AF 0031 0163 00C9 012C 018A 009D 012F 00A4
098,02,01,00AF 0031 0163 00C9 012C 018A 0024 012F 00A4
098,04,01,00AF 009D 0126 00C9 011E 012C 000E 002B
098,05,01,00AF 012C 002B 00A4
098,00,02,00AF 0031 0163 00C9 012C 018A 0126 0188
098,02,02,00AF 0031 0163 00C9 012C 018A 0126 0188
098,04,02,00AF 009D 0126 00C9 011E 012C 000E 002B
098,00,03,00AF 0031 0163 00C9 012C 018A 009D 012F 00A4 0190 00A8 011C
098,02,03,00AF 0031 0163 00C9 012C 018A 0024 012F 00A4 0190 00A8 011C
098,04,03,00AF 009D 0126 00C9 011E 012C 000E 002B
099,00,00,0027 00A0 00E0 00C0 012C 0170 007C 0024
099,01,00,0008 0024 0170 012C 007C
099,02,00,0027 00C0 0100 001A 0013 00D2 0129 00D0
099,03,00,0100 001A 00D0 0088 0129 0024
099,04,00,00C0 0100 001A 00D2 0129
099,05,00,0027 00A0 0013 00E0 0131
099,06,00,00C0 0088 015A 00FC 00FD 00FE 0116
099,07,00,00C0 0088 015A 00FC 00FD 00FE 00C9
099,08,00,015A 00FC 00FD 0133 0127 0144 0132 010F 0160 00F0 00C5 0111 0182 013C
099,09,00,015A 0121 0122 00D0 00D2 001A 0027 018B
099,10,00,015A 00FC 00FD 00FE 0116 00FB 00FF 0090 0182 00C9
099,11,00,015A 0013 0110 00C9 0126 0159 013E 015B 0165 0116 0182
100,00,00,0130 009B 0060 001A 011E 009A 0024 0090
100,04,00,0061 0068 001A 0090 0130
Total: 4325
